"project","file","id","line","column","original","replacement","coding","temperature"
"node-dirty","lib/dirty/dirty.js",197,152,13,"this.emit('error', new Error(`Corrupted row at the end of the db: ${buffer}`))","this.emit('error', new Error(`Corrupted row at the end of the db: ${buffer.toUpperCase()}`))","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",252,189,41,"this.emit('error', err)","this.emit('error', err.message)","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",254,189,51,"'error'","'close'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",113,92,50,"() => this._writeStream.destroy()","() => this._writeStream.cork()","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",255,189,60,"err","null","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",273,193,11,"this._waitForDrain","this._waitForDrain !== true","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",203,152,32,"new Error(`Corrupted row at the end of the db: ${buffer}`)","new Error(`Corrupted row at the end of the db: ${buffer.toUpperCase()}`)","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",200,152,23,"'error'","'close'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",247,189,13,"!cbs.length && err != null","cbs.length > 0 && err != null","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",39,39,20,"() => { if (cb) cb(); this.emit('drain'); }","() => {
  if (cb) cb();
  this.emit('drain', this);
}","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",0,28,9,"val === undefined","val == null","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",269,191,34,"err","null","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",142,118,30,"err","err.message","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",147,122,15,"chunk.lastIndexOf('\n') === -1","chunk.lastIndexOf('\n') < 0","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",257,189,60,"err","new Error()","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",36,36,28,"cbs","cbs.concat([])","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",171,134,19,"!('key' in row)","!row.hasOwnProperty('key')","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",104,88,26,"() => this.close()","() => this.close(false)","Equivalent","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",214,158,21,"'read_close'","'read_error'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",100,88,17,"'drain'","'error'","Behavioral Change","LLMorpheus"
"node-dirty","lib/dirty/dirty.js",38,39,20,"() => { if (cb) cb(); this.emit('drain'); }","() => {
  if (cb) cb();
  this.emit('drain', 1);
}","Equivalent","LLMorpheus"
"node-geo-point","src/geo-point.ts",186,149,40,"φ1","λ1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",264,210,38,"this","{}","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",167,144,23,"Number(bearing)","bearing + 180","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",3,42,9,"latitude < -90 || latitude > 90","latitude < -90 || latitude > 90 || latitude === 0","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",43,89,9,"!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude')","object.latitude === null || object.longitude === null","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",195,151,33,"cos","sin","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",259,210,12,"GeoPoint.calculateBearing(this, point)","GeoPoint.calculateBearing(this, point.longitude)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",248,201,12,"GeoPoint.calculateDestination(this, distance, bearing)","GeoPoint.calculateDestination(this, distance, bearing + 180)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",255,201,48,"distance","distance / 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",268,219,12,"GeoPoint.calculateDistance(this, point)","GeoPoint.calculateDistance(this.longitude, point.latitude)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",263,210,38,"this","undefined","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",266,210,44,"point","point.latitude + 1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",272,219,39,"this","undefined","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",201,154,21,"sinφ2","sinφ1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",10,60,9,"!isObject(point)","point.coordinates.length !== 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",162,143,22,"distance","distance + 1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",164,143,22,"distance","distance / 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",16,64,9,"!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates')","!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates') || point.type !== 'Point'","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",217,160,32,"λ2","λ2 - λ1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",276,219,45,"point","point.longitude * 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",181,147,24,"coordinate.longitude","coordinate.longitude * 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",294,297,50,"input.toFixed","input.toLocaleString","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",9,60,9,"!isObject(point)","point.type !== 'Point'","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",7,46,9,"longitude < -180 || longitude > 180","longitude < -180 || longitude > 180 || longitude === 180","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",274,219,45,"point","point.longitude","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",35,85,9,"!isObject(object)","object.constructor !== Object","Equivalent","LLMorpheus"
"node-geo-point","src/geo-point.ts",199,151,37,"θ","θ * 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",27,72,9,"!Array.isArray(point.coordinates) || point.coordinates.length !== 2","point.coordinates.length > 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",96,110,17,"r > 1 ? 1 : r","r < 0 ? 0 : r","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",210,157,30,"x","x + 1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",26,72,9,"!Array.isArray(point.coordinates) || point.coordinates.length !== 2","point.coordinates.length < 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",141,125,49,"φ2","φ1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",4,42,9,"latitude < -90 || latitude > 90","latitude < -90 || latitude > 90 || latitude === 90","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",275,219,45,"point","point.latitude + 1","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",11,60,9,"!isObject(point)","point.latitude < -90 || point.latitude > 90","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",41,89,9,"!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude')","object.latitude === undefined || object.longitude === undefined","Equivalent","LLMorpheus"
"node-geo-point","src/geo-point.ts",247,201,12,"GeoPoint.calculateDestination(this, distance, bearing)","GeoPoint.calculateDestination(this, distance * 2, bearing)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",158,126,24,"x","Math.sin(x)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",249,201,12,"GeoPoint.calculateDestination(this, distance, bearing)","GeoPoint.calculateDestination(this, distance, bearing * 2)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",211,157,30,"x","Math.sin(x)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",168,144,23,"Number(bearing)","bearing * 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",260,210,12,"GeoPoint.calculateBearing(this, point)","GeoPoint.calculateBearing(point, this)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",15,64,9,"!point.hasOwnProperty('type') || !point.hasOwnProperty('coordinates')","point.type !== 'Point' || !Array.isArray(point.coordinates)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",254,201,48,"distance","distance * 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",220,185,15,"Math.floor","Math.trunc","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",187,149,40,"φ1","Math.PI","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",163,143,22,"distance","distance * 2","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",269,219,12,"GeoPoint.calculateDistance(this, point)","GeoPoint.calculateDistance(this.latitude + point.latitude)","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",169,144,23,"Number(bearing)","bearing - 180","Behavioral Change","LLMorpheus"
"node-geo-point","src/geo-point.ts",36,85,9,"!isObject(object)","typeof object !== 'object'","Equivalent","LLMorpheus"
"node-jsonfile","index.js",84,68,60,"options","null","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",28,27,9,"shouldThrow","shouldThrow === true","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",148,11,26,"/^\uFEFF/","/^\uFEFF/g","Equivalent","LLMorpheus"
"node-jsonfile","index.js",85,68,60,"options","undefined","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",73,68,9,"universalify.fromCallback(fs.writeFile)(file, str, options)","universalify.fromCallback(fs.writeFile)(file, str, options.throws)","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",72,68,9,"universalify.fromCallback(fs.writeFile)(file, str, options)","universalify.fromCallback(fs.writeFile)(file, str, options.encoding)","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",104,78,27,"file","file.toUpperCase()","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",20,25,11,"JSON.parse(data, options ? options.reviver : null)","JSON.parse(data, options ? options.reviver : {})","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",47,50,41,"options","options.reviver","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",86,68,60,"options","{}","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",144,11,10,"content.replace(/^\uFEFF/, '')","content.replace(/^\uFEFF/g, '')","Equivalent","LLMorpheus"
"node-jsonfile","utils.js",127,5,10,"str.replace","str.replaceAll","Equivalent","LLMorpheus"
"node-jsonfile","index.js",19,25,11,"JSON.parse(data, options ? options.reviver : null)","JSON.parse(data, options ? options.reviver : undefined)","Equivalent","LLMorpheus"
"node-jsonfile","index.js",79,68,49,"file","file.toUpperCase()","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",134,10,7,"Buffer.isBuffer(content)","Buffer.isBuffer(content) && content.length > 0","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",100,78,10,"fs.writeFileSync(file, str, options)","fs.writeFileSync(file, str, options.throws)","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",136,10,7,"Buffer.isBuffer(content)","content.toString('utf8') !== content","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",46,50,41,"options","options.throws","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",53,52,12,"JSON.parse(content, options.reviver)","JSON.parse(content, options.reviver, options.encoding, options.flag, options.mode)","Equivalent","LLMorpheus"
"node-jsonfile","index.js",51,52,12,"JSON.parse(content, options.reviver)","JSON.parse(content, options.reviver, options.encoding)","Equivalent","LLMorpheus"
"node-jsonfile","index.js",110,78,38,"options","undefined","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",111,78,38,"options","{}","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",150,11,37,"''","' '","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",38,50,19,"fs.readFileSync(file, options)","fs.readFileSync(file, options.encoding)","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",40,50,19,"fs.readFileSync(file, options)","fs.readFileSync(file, options.reviver)","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",101,78,10,"fs.writeFileSync(file, str, options)","fs.writeFileSync(file, str, options.reviver)","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",145,11,10,"content.replace(/^\uFEFF/, '')","content.replace(/^\uFEFF/i, '')","Equivalent","LLMorpheus"
"node-jsonfile","utils.js",149,11,26,"/^\uFEFF/","/^\uFEFF/i","Equivalent","LLMorpheus"
"node-jsonfile","index.js",23,25,22,"data","data.toString()","Equivalent","LLMorpheus"
"node-jsonfile","utils.js",146,11,10,"content.replace(/^\uFEFF/, '')","content.replace(/^\uFEFF/gm, '')","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",52,52,12,"JSON.parse(content, options.reviver)","JSON.parse(content, options.reviver, options.encoding, options.flag)","Equivalent","LLMorpheus"
"node-jsonfile","index.js",21,25,11,"JSON.parse(data, options ? options.reviver : null)","JSON.parse(data, options ? options.reviver : 'null')","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",138,10,23,"content","content.slice(1)","Equivalent","LLMorpheus"
"node-jsonfile","index.js",99,78,10,"fs.writeFileSync(file, str, options)","fs.writeFileSync(file, str, options.encoding)","Behavioral Change","LLMorpheus"
"node-jsonfile","utils.js",129,5,22,"/\n/g","/\r?\n/g","Equivalent","LLMorpheus"
"node-jsonfile","index.js",13,19,65,"options","null","Behavioral Change","LLMorpheus"
"node-jsonfile","index.js",39,50,19,"fs.readFileSync(file, options)","fs.readFileSync(file, options.throws)","Behavioral Change","LLMorpheus"
"plural","index.js",84,24,58,"0","Math.random()","Equivalent","LLMorpheus"
"plural","index.js",273,105,14,"plural(this, num)","plural(num + 1, this)","Behavioral Change","LLMorpheus"
"plural","index.js",82,24,49,"w.substr","w.slice","Equivalent","LLMorpheus"
"plural","index.js",271,105,14,"plural(this, num)","plural(this.length, num)","Behavioral Change","LLMorpheus"
"plural","index.js",269,103,7,"String.prototype.plural === undefined","String.prototype.plural = function (num) {
  return num > 1 ? this + 's' : this + 'es';
}","Behavioral Change","LLMorpheus"
"plural","index.js",261,84,21,"rule[1]","rule[0]","Behavioral Change","LLMorpheus"
"plural","index.js",197,63,60,"illnesses","illnesses.concat([""new illness""])","Behavioral Change","LLMorpheus"
"plural","index.js",118,41,1,"addRule('memo', 'memos')","addRule('memo', function (w) {
  return w + 's';
})","Equivalent","LLMorpheus"
"plural","index.js",4,6,41,"obj","obj.valueOf()","Equivalent","LLMorpheus"
"plural","index.js",128,42,18,"'cellos'","'cell'","Behavioral Change","LLMorpheus"
"plural","index.js",116,40,22,"'bacteria'","'bacterium'","Behavioral Change","LLMorpheus"
"plural","index.js",278,105,27,"num","0","Behavioral Change","LLMorpheus"
"plural","index.js",42,22,9,"/nucleus|syllabus|focus|fungus|cactus/i","/nucleus|syllabus|focus|fungus|cactus|bacterium/i","Behavioral Change","LLMorpheus"
"plural","index.js",275,105,21,"this","undefined","Behavioral Change","LLMorpheus"
"plural","index.js",235,80,41,"rule[0].test","rule[0].exec","Behavioral Change","LLMorpheus"
"plural","index.js",96,28,9,"/[^aeiouy]o$/i","/[^aeiouy]o$/","Behavioral Change","LLMorpheus"
"plural","index.js",97,28,9,"/[^aeiouy]o$/i","/[^aeiouy]o$/g","Equivalent","LLMorpheus"
"plural","index.js",218,76,7,"num !== 1 || num === undefined","num === undefined","Behavioral Change","LLMorpheus"
"plural","index.js",75,24,9,"/appendix|index/i","/appendix|index|quix/i","Behavioral Change","LLMorpheus"
"plural","index.js",180,52,9,"/\b(?:bison|cod|deer|fowl|halibut|moose|sheep)\b/i","/\b(?:bison|cod|deer|fowl|halibut|moose|sheep|tiger|zebra|unicorn)\b/i","Behavioral Change","LLMorpheus"
"plural","index.js",25,16,50,"w.substr","w.substring","Equivalent","LLMorpheus"
"plural","index.js",266,84,55,"word","word.slice(1)","Behavioral Change","LLMorpheus"
"plural","index.js",257,83,16,"rule[0]","rule[1]","Behavioral Change","LLMorpheus"
"plural","index.js",270,103,7,"String.prototype.plural === undefined","String.prototype.plural = function (num) {
  return num > 1 ? this + 's' : this + 'ies';
}","Behavioral Change","LLMorpheus"
"plural","index.js",51,22,71,"w.substr","w.slice","Equivalent","LLMorpheus"
"plural","index.js",262,84,21,"rule[1]","rule[2]","Behavioral Change","LLMorpheus"
"plural","index.js",114,40,1,"addRule('bacterium', 'bacteria')","addRule('bacterium', 'bacteriums')","Behavioral Change","LLMorpheus"
"plural","index.js",50,22,71,"w.substr","w.substring","Equivalent","LLMorpheus"
"plural","index.js",217,76,7,"num !== 1 || num === undefined","num !== 1","Behavioral Change","LLMorpheus"
"plural","index.js",208,67,18,"function(w) { return w }","function (w) {
  return w.toLowerCase();
}","Behavioral Change","LLMorpheus"
"plural","index.js",179,52,9,"/\b(?:bison|cod|deer|fowl|halibut|moose|sheep)\b/i","/\b(?:bison|cod|deer|fowl|halibut|moose|sheep|tiger|zebra)\b/i","Behavioral Change","LLMorpheus"
"plural","index.js",253,83,11,"type(rule[0]) === 'String' && rule[0] === word","rule[0] === word","Behavioral Change","LLMorpheus"
"plural","index.js",43,22,9,"/nucleus|syllabus|focus|fungus|cactus/i","/nucleus|syllabus|focus|fungus|cactus|bacteria/i","Behavioral Change","LLMorpheus"
"plural","index.js",194,63,53,"games","games.concat(illnesses)","Behavioral Change","LLMorpheus"
"plural","index.js",274,105,21,"this","null","Behavioral Change","LLMorpheus"
"plural","index.js",236,80,54,"word","word.toLowerCase()","Behavioral Change","LLMorpheus"
"plural","index.js",126,42,9,"'cello'","'cell'","Behavioral Change","LLMorpheus"
"plural","index.js",26,16,50,"w.substr","w.slice","Equivalent","LLMorpheus"
"plural","index.js",172,49,57,"/a/","/a|b/","Behavioral Change","LLMorpheus"
"plural","index.js",61,23,9,"/thesis|crisis/i","/thesis|crisis|thesis|crisis/i","Behavioral Change","LLMorpheus"
"plural","index.js",115,40,9,"'bacterium'","'bacteria'","Behavioral Change","LLMorpheus"
"plural","index.js",169,49,47,"w.replace(/a/, 'e')","w.replace(/a/g, 'e')","Equivalent","LLMorpheus"
"plural","index.js",255,83,11,"type(rule[0]) === 'String' && rule[0] === word","rule[0] === word && type(rule[0]) === 'String' && rule[0].length > 0","Behavioral Change","LLMorpheus"
"plural","index.js",68,23,48,"w.substr","w.substring","Equivalent","LLMorpheus"
"plural","index.js",206,67,9,"/ics$/i","/ics$/","Behavioral Change","LLMorpheus"
"plural","index.js",69,23,48,"w.substr","w.slice","Equivalent","LLMorpheus"
"plural","index.js",125,42,9,"'cello'","'cellos'","Behavioral Change","LLMorpheus"
"plural","index.js",34,19,9,"/x$|ch$|s$/i","/x$|ch$|s$/","Behavioral Change","LLMorpheus"
"plural","index.js",268,103,7,"String.prototype.plural === undefined","String.prototype.plural = function (num) {
  return num > 1 ? this + 's' : this;
}","Behavioral Change","LLMorpheus"
"plural","index.js",272,105,14,"plural(this, num)","plural(num, this)","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",376,7,43,"onAbort","onAbort()","Behavioral Change","LLMorpheus"
"pull-stream","throughs/take.js",677,30,16,"ended","ended && !test(data)","Behavioral Change","LLMorpheus"
"pull-stream","sources/count.js",295,9,5,"cb(null, i++)","cb(undefined, i++)","Behavioral Change","LLMorpheus"
"pull-stream","throughs/through.js",724,18,19,"end","undefined","Behavioral Change","LLMorpheus"
"pull-stream","sinks/find.js",229,22,8,"err === true ? null : err","err === false ? null : err","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",365,7,10,"abort","!abort","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",366,7,10,"abort","abort === true","Behavioral Change","LLMorpheus"
"pull-stream","sinks/find.js",214,17,7,"cb(null, data)","cb(undefined, data)","Behavioral Change","LLMorpheus"
"pull-stream","sinks/on-end.js",244,6,16,"null","undefined","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",84,24,41,"ref[1]","ref[0]","Behavioral Change","LLMorpheus"
"pull-stream","sinks/drain.js",160,27,23,"end && end !== true","end && end !== null","Behavioral Change","LLMorpheus"
"pull-stream","sinks/drain.js",176,34,20,"abort || true","abort ? true : false","Behavioral Change","LLMorpheus"
"pull-stream","sinks/drain.js",164,28,17,"console.warn","console.info","Behavioral Change","LLMorpheus"
"pull-stream","throughs/through.js",710,15,10,"end","end || true","Equivalent","LLMorpheus"
"pull-stream","throughs/filter.js",520,15,23,"test","test || true","Behavioral Change","LLMorpheus"
"pull-stream","sinks/reduce.js",280,16,27,"end === true ? null : end","end === false ? null : end","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",379,8,17,"true","false","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",87,24,49,"ref[2]","ref[0]","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",131,42,16,"s && typeof s === 'object'","s && typeof s === 'function'","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",37,20,15,"length","length * 2","Behavioral Change","LLMorpheus"
"pull-stream","throughs/flatten.js",551,13,16,"err || abort","err || !abort","Behavioral Change","LLMorpheus"
"pull-stream","sources/once.js",332,6,8,"abort","abort && value","Behavioral Change","LLMorpheus"
"pull-stream","sinks/drain.js",163,28,17,"console.warn","console.log","Behavioral Change","LLMorpheus"
"pull-stream","sources/once.js",342,7,33,"onAbort","onAbort()","Behavioral Change","LLMorpheus"
"pull-stream","throughs/async-map.js",432,12,29,"aborted","undefined","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",386,10,21,"array","array[0]","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",416,21,10,"null","''","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",136,43,14,"read","read.source","Behavioral Change","LLMorpheus"
"pull-stream","throughs/filter.js",524,16,41,"next(end, cb)","next(end, data)","Behavioral Change","LLMorpheus"
"pull-stream","sources/once.js",354,10,10,"null","undefined","Behavioral Change","LLMorpheus"
"pull-stream","throughs/take.js",699,37,16,"null","undefined","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",92,26,9,"ref.unshift","ref.pop","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",375,7,36,"abort","!abort","Behavioral Change","LLMorpheus"
"pull-stream","throughs/map.js",607,7,6,"!mapper","mapper !== mapper","Behavioral Change","LLMorpheus"
"pull-stream","sinks/reduce.js",274,16,12,"end","end === true","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",33,10,11,"args == null","args.length === 0","Behavioral Change","LLMorpheus"
"pull-stream","sources/once.js",336,7,22,"cb","abortCb(null, abort, onAbort)","Behavioral Change","LLMorpheus"
"pull-stream","throughs/filter.js",525,16,41,"next(end, cb)","next(end, null)","Behavioral Change","LLMorpheus"
"pull-stream","throughs/async-map.js",428,12,10,"aborted","aborted && false","Behavioral Change","LLMorpheus"
"pull-stream","sinks/log.js",237,7,5,"console.log","console.info","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",41,21,27,"read","read + 1","Behavioral Change","LLMorpheus"
"pull-stream","pull.js",48,22,22,"pull(read, ref[0], ref[1])","pull(read, ref[0], ref[1], ref[2])","Behavioral Change","LLMorpheus"
"pull-stream","sources/values.js",411,21,7,"cb(null, array[i++])","cb(undefined, array[i++])","Behavioral Change","LLMorpheus"
"pull-stream","throughs/through.js",721,17,27,"data","undefined","Behavioral Change","LLMorpheus"
"pull-stream","sources/once.js",356,10,10,"null","''","Behavioral Change","LLMorpheus"
"pull-stream","sinks/find.js",231,22,8,"err === true ? null : err","err ? err : null","Behavioral Change","LLMorpheus"
"pull-stream","throughs/take.js",658,24,51,"ended","!ended","Behavioral Change","LLMorpheus"
"pull-stream","throughs/flatten.js",547,13,11,"read(err || abort, cb)","read(err && abort, cb)","Behavioral Change","LLMorpheus"
"pull-stream","throughs/async-map.js",491,39,23,"null","undefined","Behavioral Change","LLMorpheus"
"pull-stream","throughs/async-map.js",493,39,23,"null","''","Behavioral Change","LLMorpheus"
"q","q.js",180,294,25,"callback(basis, this[index], index)","callback(basis, this[index], index - 1)","Behavioral Change","LLMorpheus"
"q","q.js",714,873,62,"value","null","Behavioral Change","LLMorpheus"
"q","q.js",1709,1877,14,"object","null","Behavioral Change","LLMorpheus"
"q","q.js",384,468,62,"firstLine","firstLine.split("":"")[0]","Behavioral Change","LLMorpheus"
"q","q.js",590,739,12,"Q","Q.reject","Behavioral Change","LLMorpheus"
"q","q.js",1276,1453,12,"Q","Q.all","Behavioral Change","LLMorpheus"
"q","q.js",4,39,9,"bootstrap(""promise"", definition)","bootstrap(""promise"", function () {})","Behavioral Change","LLMorpheus"
"q","q.js",465,580,27,"nearer","nearerValue * 2","Behavioral Change","LLMorpheus"
"q","q.js",1471,1604,25,"deferred.notify","deferred.resolve","Behavioral Change","LLMorpheus"
"q","q.js",1542,1683,20,"array_map(promises, Q)","array_map(promises, Q.reject)","Behavioral Change","LLMorpheus"
"q","q.js",1049,1228,16,"Q","Q.reject","Behavioral Change","LLMorpheus"
"q","q.js",393,485,16,"callback.apply(callback, arguments)","callback.apply(callback, arguments[0])","Behavioral Change","LLMorpheus"
"q","q.js",1403,1537,21,"object","undefined","Behavioral Change","LLMorpheus"
"q","q.js",953,1122,5,"resetUnhandledRejections","unhandledRejections.length = 0","Behavioral Change","LLMorpheus"
"q","q.js",1658,1823,48,"onUnhandledError","onUnhandledError.apply(null)","Behavioral Change","LLMorpheus"
"q","q.js",1634,1800,14,"object","0","Behavioral Change","LLMorpheus"
"q","q.js",588,704,25,"reason","undefined","Behavioral Change","LLMorpheus"
"q","q.js",211,318,47,"value","undefined","Behavioral Change","LLMorpheus"
"q","q.js",674,825,13,"inspected.state === ""rejected""","inspected.state === ""fulfilled""","Behavioral Change","LLMorpheus"
"q","q.js",173,291,32,"index++","index--","Behavioral Change","LLMorpheus"
"q","q.js",538,662,17,"progressListener","progressListeners[progressListeners.length - 1]","Behavioral Change","LLMorpheus"
"q","q.js",175,291,32,"index++","index = 0","Behavioral Change","LLMorpheus"
"q","q.js",186,294,41,"this[index]","this[index - 1]","Behavioral Change","LLMorpheus"
"q","q.js",1060,1244,12,"Q","Q.defer","Behavioral Change","LLMorpheus"
"q","q.js",1723,1900,14,"callback","null","Behavioral Change","LLMorpheus"
"q","q.js",1800,1951,11,"callback","null","Behavioral Change","LLMorpheus"
"q","q.js",869,1079,60,"promise","promise.then(function () {
  return Q.reject(new Error(""test""));
})","Behavioral Change","LLMorpheus"
"q","q.js",516,642,13,"resolvedPromise","resolvedPromise !== false","Behavioral Change","LLMorpheus"
"q","q.js",1140,1319,47,"errback","reject","Behavioral Change","LLMorpheus"
"q","q.js",447,566,40,"operands[1]","operands[2]","Behavioral Change","LLMorpheus"
"q","q.js",1520,1647,17,"pendingCount === 0","pendingCount < 0","Behavioral Change","LLMorpheus"
"q","q.js",1035,1206,29,"exception","undefined","Behavioral Change","LLMorpheus"
"q","q.js",633,796,9,"inspect === void 0","inspect !== void 0","Behavioral Change","LLMorpheus"
"q","q.js",1502,1641,9,"when","when.then","Behavioral Change","LLMorpheus"
"q","q.js",1970,2029,43,"1","null","Behavioral Change","LLMorpheus"
"q","q.js",1475,1604,41,"{ index: index, value: progress }","{
  index: index,
  value: progress * 2
}","Behavioral Change","LLMorpheus"
"q","q.js",290,398,9,"object_defineProperty(error, ""stack"", {value: stack, configurable: true})","object_defineProperty(error, ""stack"", {
  value: stack,
  writable: false
})","Behavioral Change","LLMorpheus"
